nodeID nodeCity nodeAdoptionDate nodeMed_sch_yr nodeMeetings nodeJours nodeFreeTime nodeDiscuss nodeClubs nodeFriends nodeCommunity nodePatients nodeProximity nodeSpecialty
1 1 1 2 2 8 1 1 0 1 6 5 3 3
2 1 12 6 0 4 3 2 0 4 1 4 3 1
3 1 8 4 1 6 3 1 0 3 5 4 2 2
4 1 9 5 1 5 1 1 0 1 4 3 3 1
5 1 9 4 1 3 1 2 0 2 5 3 2 1
6 1 10 3 0 6 2 2 0 1 5 5 3 2
7 1 18 1 0 2 1 2 0 1 6 6 2 1
8 1 3 4 0 8 2 2 0 1 5 6 1 1
9 1 11 2 2 4 1 1 0 1 6 1 2 3
10 1 2 4 1 3 2 1 0 4 5 6 3 1
11 1 4 2 2 8 2 2 0 2 6 5 4 2
12 1 5 5 0 3 1 2 0 1 4 6 1 1
13 1 2 6 1 8 1 1 0 1 2 2 3 1
14 1 15 5 1 2 3 2 0 4 4 5 3 1
15 1 4 4 0 4 2 2 0 1 5 6 9 1
16 1 15 5 2 4 1 1 0 1 3 1 2 2
17 1 18 4 0 2 1 1 0 2 4 5 2 1
18 1 5 5 1 4 1 2 0 2 5 6 3 1
19 1 11 1 1 2 2 3 0 2 6 9 3 2
20 1 2 4 2 8 1 1 0 2 4 3 3 2
21 1 8 5 2 3 3 2 0 2 4 5 9 3
22 1 7 6 2 3 2 2 1 3 3 4 2 3
23 1 5 4 2 5 3 2 0 3 5 4 2 3
24 1 4 5 1 5 1 2 0 2 1 4 2 2
25 1 3 6 1 3 2 2 1 4 3 4 1 1
26 1 6 3 1 3 2 2 0 1 5 5 1 1
27 1 1 4 2 4 2 2 1 2 5 4 3 3
28 1 5 5 2 8 3 1 0 1 4 3 2 2
29 1 3 3 2 4 1 2 0 2 4 5 2 2
30 1 15 6 1 3 3 1 0 4 3 4 1 1
31 1 5 5 1 8 3 1 0 3 4 6 2 2
32 1 7 1 1 4 1 1 0 2 6 3 3 2
33 1 6 5 0 3 1 2 0 3 4 5 1 1
34 1 14 1 0 2 1 2 0 9 6 2 2 1
35 1 4 4 1 4 3 1 0 3 5 4 3 1
36 1 8 3 1 5 3 1 0 3 5 5 2 2
37 1 8 4 2 7 1 1 0 4 4 3 3 2
38 1 14 1 0 2 1 3 0 1 6 2 1 1
39 1 18 1 1 1 1 1 0 3 6 4 9 1
40 1 98 5 2 4 3 2 9 3 3 9 3 4
41 1 98 3 2 5 1 2 0 1 5 1 3 4
42 1 98 2 2 6 2 2 0 3 6 5 4 4
43 1 98 3 2 2 2 1 0 9 5 5 3 4
44 1 98 5 2 6 2 1 0 3 3 2 3 4
45 1 98 2 2 5 1 2 0 2 6 6 3 4
46 1 98 3 2 8 1 1 0 1 5 2 3 4
47 1 98 2 2 7 1 1 0 1 6 2 3 4
48 1 98 3 1 3 3 1 0 2 5 4 2 4
49 1 98 3 2 2 1 1 0 1 6 3 4 4
50 1 98 4 2 4 2 2 0 1 5 4 3 4
51 1 98 4 2 5 1 2 0 2 4 6 4 4
52 1 98 4 2 8 1 3 9 1 5 6 2 4
53 1 98 2 2 3 3 2 0 3 6 6 2 4
54 1 98 5 2 5 3 1 0 2 3 3 2 4
55 1 98 3 2 5 1 1 1 1 5 9 3 4
56 1 98 1 2 3 1 1 0 1 6 9 3 4
57 1 98 3 1 4 1 2 0 1 5 6 2 4
58 1 4 2 1 3 3 2 0 4 6 4 1 4
59 1 98 6 0 4 1 2 0 3 1 1 2 4
60 1 98 6 2 2 3 2 0 3 1 2 3 4
61 1 98 4 2 4 3 2 1 4 5 4 2 4
62 1 98 5 1 5 1 2 0 2 3 3 2 4
63 1 98 6 2 4 1 1 0 1 3 4 3 4
64 1 98 6 0 6 2 3 0 3 1 1 2 4
65 1 98 6 1 2 3 2 0 4 2 4 2 4
66 1 98 5 2 4 3 2 1 3 3 5 3 4
67 1 98 6 0 4 1 1 0 1 2 2 2 4
68 1 98 6 2 2 1 1 0 1 1 3 3 4
69 1 98 4 1 2 1 1 0 1 2 6 3 4
70 1 11 1 1 5 1 2 0 9 6 9 3 2
71 1 98 1 2 7 1 2 0 1 6 2 9 2
72 1 18 2 1 3 2 2 0 3 6 5 2 2
73 1 12 4 0 1 9 9 9 1 5 3 1 1
74 1 12 4 0 1 1 2 0 2 3 5 1 1
75 1 1 3 0 1 1 1 0 1 5 5 9 1
76 1 6 3 1 5 1 2 0 9 4 6 2 1
77 1 7 4 2 6 1 1 1 1 5 5 2 3
78 1 1 3 2 7 3 1 0 2 5 3 2 3
79 1 6 4 2 4 2 2 9 1 5 5 3 1
80 1 18 1 1 3 1 1 0 1 6 4 2 1
81 1 4 4 1 5 2 2 0 1 4 4 1 2
82 1 18 1 0 6 1 1 0 1 6 3 3 2
83 1 98 4 2 4 3 2 9 3 4 6 2 4
84 1 98 5 2 3 1 1 0 3 4 3 3 4
85 1 98 5 0 8 1 2 0 1 3 1 3 4
86 1 99 6 0 1 2 2 0 3 2 9 4 4
87 1 98 6 2 5 3 1 0 3 2 9 9 4
88 1 98 3 2 8 3 2 0 2 3 9 3 4
89 1 99 3 2 3 1 1 0 9 5 9 9 4
90 1 98 2 1 7 1 2 0 1 3 9 9 4
91 1 7 9 9 5 9 9 9 9 6 9 9 3
92 1 6 1 2 7 2 2 0 1 6 2 3 3
93 1 1 2 2 8 1 1 0 1 6 2 1 2
94 1 2 4 1 7 1 2 0 1 5 3 3 2
95 1 5 5 0 4 3 1 0 4 4 3 4 2
96 1 13 4 1 2 2 1 0 2 5 1 9 2
97 1 4 2 0 1 1 2 0 2 3 3 1 1
98 1 3 5 0 6 1 2 0 9 3 2 3 2
99 1 98 3 2 6 1 1 0 1 4 6 2 4
100 1 98 5 2 7 1 2 0 1 3 1 3 4
101 1 98 2 2 4 2 1 0 2 6 3 3 4
102 1 98 6 2 4 1 2 0 2 3 2 3 4
103 1 98 5 0 2 2 2 0 4 3 2 2 4
104 1 98 5 1 5 1 1 0 1 3 6 3 4
105 1 7 4 0 4 1 2 0 1 4 5 3 1
106 1 98 2 2 4 2 3 9 2 6 9 3 4
107 1 98 1 1 1 1 1 9 9 6 4 1 1
108 1 18 1 1 3 1 1 0 1 6 5 1 1
109 1 99 2 9 9 3 9 0 3 6 9 9 4
110 1 99 9 9 9 9 9 9 9 2 9 9 4
111 1 99 9 9 9 9 9 9 9 9 9 9 9
112 1 99 9 9 9 9 9 9 9 9 9 9 9
113 1 99 9 9 9 9 9 9 9 9 9 9 9
114 1 99 9 9 9 9 9 9 9 9 9 9 9
115 1 99 9 9 9 9 9 9 9 9 9 9 9
116 1 99 9 9 9 9 9 9 9 9 9 9 9
117 1 99 9 9 9 9 9 9 9 9 9 9 9
118 2 98 3 2 7 1 2 0 2 5 5 2 2
119 2 1 6 1 2 1 2 0 1 4 4 3 1
120 2 98 3 2 3 1 1 0 1 5 5 2 1
121 2 7 6 0 2 1 2 0 1 1 2 3 2
122 2 6 4 1 8 1 2 0 2 4 4 2 2
123 2 1 4 2 4 3 2 0 1 5 5 3 1
124 2 18 1 0 1 1 2 0 9 5 5 1 2
125 2 7 2 2 3 1 2 0 1 6 5 1 1
126 2 6 5 2 3 3 2 0 4 3 4 3 3
127 2 1 3 2 5 1 1 0 1 6 4 1 1
128 2 2 1 1 3 1 1 0 2 6 5 3 1
129 2 5 6 2 3 3 1 0 2 2 3 3 3
130 2 1 3 0 2 2 1 1 4 4 6 2 1
131 2 1 5 1 4 1 1 0 1 1 4 1 1
132 2 2 3 2 2 1 2 0 1 5 5 3 1
133 2 2 6 2 8 3 2 0 3 4 6 3 1
134 2 11 2 0 4 1 2 0 9 4 3 9 1
135 2 5 5 0 5 2 1 0 2 4 2 2 2
136 2 17 4 1 2 1 3 0 1 4 6 1 1
137 2 7 6 1 2 1 1 0 1 3 4 2 1
138 2 98 5 2 3 2 2 0 3 3 2 3 4
139 2 98 2 2 5 1 2 0 1 6 3 3 4
140 2 98 6 2 8 2 2 0 2 3 2 3 4
141 2 98 4 2 7 1 2 0 1 4 3 2 4
142 2 98 3 2 4 1 1 0 1 5 5 3 4
143 2 98 5 2 3 3 2 0 2 3 9 3 4
144 2 98 6 2 5 2 3 0 2 3 2 2 4
145 2 98 2 2 5 2 2 1 2 6 6 3 4
146 2 98 6 1 3 3 1 0 2 1 9 2 4
147 2 98 4 2 4 1 9 0 3 4 4 3 4
148 2 98 4 2 8 1 2 0 1 5 5 3 4
149 2 98 6 1 2 3 2 0 1 1 1 1 4
150 2 98 5 2 4 2 2 0 2 3 3 2 4
151 2 1 3 2 4 1 1 0 2 4 5 2 3
152 2 18 2 2 8 1 1 0 9 6 5 1 1
153 2 9 6 1 8 1 2 0 1 3 5 2 2
154 2 9 3 1 5 1 2 0 9 3 9 1 1
155 2 18 5 1 5 1 3 0 1 5 6 2 4
156 2 7 5 0 2 1 1 0 1 3 3 9 1
157 2 98 2 2 7 1 1 0 1 6 6 2 4
158 2 98 4 1 3 3 1 0 1 5 5 3 4
159 2 98 2 2 6 1 1 0 3 6 5 9 4
160 2 98 6 2 3 1 1 0 1 1 2 2 4
161 2 98 3 2 2 9 9 9 9 5 4 9 4
162 2 99 4 9 9 9 9 9 9 4 9 9 4
163 2 99 9 9 9 9 9 9 9 8 9 9 4
164 2 99 2 0 9 9 9 9 9 6 9 9 4
165 2 99 1 1 9 1 9 9 3 6 9 9 4
166 2 99 9 9 9 9 9 9 9 9 9 9 9
167 2 99 9 9 9 9 9 9 9 9 9 9 9
168 3 2 4 0 5 2 2 0 2 5 6 3 2
169 3 18 2 1 2 1 1 0 1 6 6 1 1
170 3 18 6 0 4 3 2 0 2 1 1 3 2
171 3 4 3 1 2 1 1 0 1 6 6 3 1
172 3 18 4 2 3 1 2 0 2 5 6 1 1
173 3 5 1 1 4 1 1 0 1 6 3 3 2
174 3 7 4 2 5 3 2 0 3 2 5 3 1
175 3 18 1 1 5 1 1 0 2 6 4 3 2
176 3 3 5 1 3 1 2 0 1 3 4 3 2
177 3 15 3 2 2 1 1 0 2 5 6 3 1
178 3 16 1 2 3 3 1 0 1 6 6 2 4
179 3 7 5 1 2 1 1 0 1 4 5 2 1
180 3 6 4 1 3 1 2 1 9 4 4 3 2
181 3 6 5 0 3 3 1 0 3 4 5 4 3
182 3 5 4 2 7 1 2 1 1 5 3 3 4
183 3 98 3 2 4 3 2 0 2 4 6 3 4
184 3 98 4 0 3 1 2 0 3 2 1 3 4
185 3 98 3 2 4 2 1 0 3 4 6 3 4
186 3 98 6 2 5 1 1 0 1 2 1 3 4
187 3 98 4 2 3 3 2 0 3 4 4 3 4
188 3 98 6 2 3 1 1 0 1 3 6 2 4
189 3 98 3 0 3 1 1 0 1 6 6 3 4
190 3 98 4 2 7 1 1 0 1 5 6 3 4
191 3 98 2 2 6 1 1 0 1 5 9 3 4
192 3 98 4 2 3 1 1 0 2 4 9 3 4
193 3 98 4 2 2 3 1 0 2 3 2 3 4
194 3 98 3 2 3 2 2 0 2 4 3 3 4
195 3 3 4 0 3 1 1 0 9 5 9 3 1
196 3 13 5 1 5 3 1 0 9 1 4 3 2
197 3 11 3 0 3 1 2 0 1 2 6 1 1
198 3 8 2 2 8 1 2 0 2 6 6 3 3
199 3 3 3 1 4 1 2 1 1 5 6 1 1
200 3 2 2 0 3 1 2 0 1 2 2 2 1
201 3 98 1 0 3 1 1 0 1 6 5 9 4
202 3 99 1 9 9 9 9 9 3 6 9 9 4
203 3 99 9 9 9 9 9 9 9 3 9 1 4
204 3 99 2 9 9 9 9 9 1 2 9 9 4
205 3 99 9 2 9 9 9 9 9 1 9 9 4
206 3 99 9 9 9 9 9 9 9 9 9 9 9
207 3 99 9 9 9 9 9 9 9 9 9 9 9
208 3 99 9 9 9 9 9 9 9 9 9 9 9
209 3 99 9 9 9 9 9 9 9 9 9 9 9
210 3 99 9 9 9 9 9 9 9 9 9 9 9
211 3 99 9 9 9 9 9 9 9 9 9 9 9
212 4 18 4 1 3 1 1 0 1 4 5 2 1
213 4 18 4 0 3 1 1 0 1 1 6 2 1
214 4 4 6 1 5 2 2 1 1 3 3 3 1
215 4 5 4 0 3 1 1 1 1 5 5 2 1
216 4 8 4 1 5 3 2 0 1 4 6 9 2
217 4 4 1 2 7 1 2 0 2 6 4 3 2
218 4 3 6 0 3 3 1 1 4 3 3 3 2
219 4 8 3 1 1 1 1 0 1 6 6 2 1
220 4 13 4 0 2 1 1 0 1 4 5 2 1
221 4 6 4 0 5 3 2 0 2 4 4 2 3
222 4 3 6 0 4 2 1 0 2 2 4 3 2
223 4 6 3 2 6 1 1 0 2 4 5 3 1
224 4 14 6 1 4 1 1 0 1 3 4 3 1
225 4 7 4 1 2 2 1 1 2 4 5 1 1
226 4 4 4 1 5 3 9 1 2 5 6 1 1
227 4 14 6 1 6 2 2 0 4 1 9 3 3
228 4 98 1 2 2 2 1 0 3 6 5 1 1
229 4 7 5 2 4 1 2 0 1 4 4 3 3
230 4 98 4 1 7 3 1 1 4 4 3 3 4
231 4 98 2 2 8 1 1 0 2 5 9 3 4
232 4 98 5 2 5 3 2 1 3 3 6 3 4
233 4 98 5 2 4 3 1 1 4 3 6 3 4
234 4 98 3 2 3 1 2 0 3 4 2 2 4
235 4 98 3 2 7 1 1 0 1 5 5 3 4
236 4 98 5 2 4 1 1 0 2 4 9 3 4
237 4 98 4 2 4 1 2 1 1 4 3 3 4
238 4 98 2 2 6 1 1 0 3 4 3 3 4
239 4 98 1 2 5 3 2 0 2 6 2 3 4
240 4 98 3 2 9 1 1 1 1 6 3 3 4
241 4 16 2 1 4 9 9 9 9 6 9 3 1
242 4 98 4 1 5 1 2 0 3 5 9 2 4
243 4 98 4 2 4 1 1 0 3 4 2 2 4
244 4 99 9 9 9 9 9 9 9 9 9 9 9
245 4 99 9 9 9 9 9 9 9 9 9 9 9
246 4 99 9 9 9 9 9 9 9 9 9 9 9
