nodeID nodeLabel
1 soc-2
2 W07G4.5
3 let-60
4 gna-1
5 B0365.1
6 dlg-1
7 pal-1
8 W02G9.3
9 crm-1
10 B0507.1
11 tyr-1
12 tyr-4
13 ppn-1
14 C54D2.2
15 adt-2
16 F16B4.5
17 F23B12.4
18 F29G6.3
19 F30H5.3
20 elo-6
21 F42D1.2
22 lon-1
23 F53A9.1
24 F53A9.2
25 F54A3.1
26 F54B11.7
27 F56B3.2
28 F58E6.3
29 K07C11.7
30 K08E7.5
31 R02F11.1
32 R05G6.7
33 T01B7.8
34 act-1
35 T21B6.3
36 T21D12.11
37 T22F7.3
38 scrm-1
39 W03G1.5
40 Y39B6A.1
41 Y64G10A.7
42 Y69H2.10
43 Y69H2.3
44 rps-7
45 pqn-95
46 ZK849.1
47 casy-1
48 C17F4.7
49 sgt-1
50 dnj-2
51 tba-1
52 ptps-1
53 rpn-10
54 rpl-23
55 arf-1.2
56 ocrl-1
57 sptl-1
58 try-10
59 csr-1
60 F23C8.5
61 rpt-3
62 rpl-7
63 rpl-25.1
64 F57F5.1
65 mek-1
66 K09E2.3
67 gpdh-2
68 rpl-9
69 grl-7
70 col-41
71 T23B5.1
72 lgc-40
73 W09C5.1
74 air-2
75 C14F11.6
76 asb-2
77 F41C3.5
78 icp-1
79 pmk-1
80 B0336.7
81 csn-5
82 cky-1
83 mak-2
84 rskn-2
85 farl-11
86 nhr-4
87 tag-196
88 F54D5.7
89 npp-9
90 ogt-1
91 unc-43
92 R02F2.9
93 T09B4.9
94 T12G3.1
95 gsy-1
96 ebp-3
97 grl-15
98 B0238.12
99 rpl-4
100 carboxylesterase
101 dab-1
102 gosr-2.1
103 C15H9.4
104 F17C11.9
105 unc-64
106 nhr-10
107 rad-26
108 zen-4
109 ZK930.3
110 B0286.3
111 ntl-2
112 nhr-111
113 SLP-1
114 R07H5.8
115 synaptobrevin
116 T23G7.3
117 rps-0
118 rps-21
119 B0414.8
120 nhr-60
121 B0416.5
122 cyn-5
123 spk-1
124 B0035.1
125 obr-4
126 daf-21
127 nurf-1
128 cey-2
129 H02I12.5
130 T19A5.1
131 ddl-2
132 tag-342
133 tbp-1
134 valv-1
135 lin-10
136 dyci-1
137 set-14
138 F18A1.6
139 atp-3
140 rpl-5
141 K04F10.7
142 T21H3.1
143 lst-3
144 Y39G10AR.17
145 B0513.2
146 T05E7.5
147 C01B10.3
148 T18D3.7
149 C01B10.4
150 R03G5.6
151 R11D1.3
152 C01B10.8
153 C04E12.6
154 str-131
155 C14B9.8
156 C14F11.4
157 pabp-2
158 C46C11.3
159 C53C11.2
160 lips-1
161 F46A9.2
162 dpy-17
163 F59A1.11
164 K02D3.1
165 sut-1
166 wrt-5
167 W06B11.1
168 W07G1.5
169 W10D9.5
170 psa-1
171 Y58A7A.1
172 ins-6
173 C01F6.2
174 K10C8.3
175 lst-1
176 ZK1055.7
177 C01G5.8
178 unc-84
179 smo-1
180 erm-1
181 tag-60
182 C18B2.5
183 asp-3
184 umps-1
185 gst-33
186 ftn-1
187 ftn-2
188 bath-40
189 knl-1
190 rsp-8
191 vit-2
192 F15E11.15
193 epn-1
194 pbs-6
195 C06A8.1
196 C06G3.6
197 fbxa-166
198 vha-16
199 D1005.1
200 wve-1
201 brp-1
202 ZC411.1
203 ZK1098.4
204 pqn-5
205 abu-1
206 abu-8
207 col-80
208 lys-8
209 rps-3
210 rpl-13
211 F07A5.2
212 cyp-14A5
213 col-20
214 pqn-32
215 lbp-1
216 F43E2.5
217 F44D12.4
218 F58F12.1
219 ile-1
220 beta-synthase
221 sodh-1
222 rpl-16
223 M02G9.1
224 M195.2
225 pqn-57
226 abu-11
227 rps-19
228 T20F5.4
229 fat-6
230 phospholipase
231 atn-1
232 W09D10.1
233 lys-1
234 lys-2
235 pbs-3
236 csn-6
237 rpl-1
238 rnr-2
239 lips-2
240 sms-1
241 lgc-9
242 lmn-1
243 ikb-1
244 C36C9.1
245 ubq-1
246 psf-1
247 bath-41
248 F52C6.2
249 nhl-1
250 srx-90
251 K04G2.6
252 R02F2.5
253 T04F8.7
254 vha-15
255 aco-1
256 rnh-1.3
257 F25B3.6
258 F57B10.5
259 rpl-7A
260 his-72
261 C05C10.5
262 F54D10.7
263 C05C8.6
264 gst-24
265 F52B11.1
266 dre-1
267 gly-4
268 Y7A5A.2
269 C05D11.10
270 C03C10.4
271 F49H12.3
272 bbs-5
273 hcp-1
274 snx-1
275 C18E9.9
276 C36H8.1
277 wdfy-2
278 F17E9.5
279 cup-2
280 drr-1
281 ret-1
282 Y38C1AA.7
283 Y59A8B.22
284 zip-1
285 C05G5.1
286 Y39G10AR.8
287 C06E4.2
288 rps-10
289 F33D4.6
290 ndc-80
291 crt-1
292 nhr-35
293 F01F1.12
294 tol-1
295 nhr-6
296 act-5
297 cct-5
298 F13B12.4
299 lig-4
300 C27D9.1
301 cgh-1
302 rpl-2
303 cutl-14
304 C06A5.3
305 dsh-2
306 C27F2.8
307 D1054.9
308 srd-30
309 F14F9.4
310 skr-2
311 F46H5.3
312 edc-3
313 T26H5.4
314 mex-1
315 zfp-3
316 nhr-113
317 lin-39
318 cuticlin
319 K10D6.4
320 dhs-14
321 zyg-11
322 ftt-2
323 mut-2
324 W03D8.9
325 him-3
326 hda-2
327 K08F11.2
328 actin
329 K02F2.2
330 nhr-67
331 nhr-2
332 H19N07.1
333 unc-37
334 ptp-3
335 Y37D8A.8
336 pqn-11
337 srx-117
338 sma-1
339 T05F1.4
340 YER141W
341 T27F2.2
342 Y39B6A.11
343 ztf-8
344 npp-10
345 cks-1
346 C06C3.8
347 C14C6.3
348 C39D10.7
349 eft-3
350 clec-62
351 apc-11
352 nhr-20
353 hrd-1
354 M60.4
355 kat-1
356 lin-45
357 ZC455.1
358 ZK1240.2
359 mes-6
360 rfc-3
361 unc-96
362 F25H8.2
363 K12H4.5
364 nasp-1
365 tra-4
366 lin-2
367 npr-3
368 Y39B6A.7
369 Y51H4A.8
370 Y7A9D.1
371 C12D8.1
372 mex-6
373 C16B8.3
374 pqn-14
375 D1046.1
376 moe-3
377 cids-2
378 F59E12.9
379 tfg-1
380 oma-2
381 col-74
382 ZK643.5
383 C13C4.5
384 H37A05.1
385 C13F10.7
386 C14A4.11
387 C06E7.4
388 flp-9
389 F09F7.5
390 gck-1
391 tbc-9
392 Y66D12A.9
393 ZK792.4
394 C14B1.2
395 plk-1
396 cpz-1
397 F46B6.5
398 pqn-59
399 asp-2
400 rpl-21
401 R06F6.8
402 sem-5
403 C11E4.6
404 eva-1
405 sip-1
406 rme-4
407 src-2
408 F54D5.15
409 F54D5.5
410 sli-1
411 R08E3.3
412 T20F5.6
413 sos-1
414 pas-1
415 F52G2.3
416 syn-16
417 pas-7
418 C15H9.9
419 C16A3.5
420 bath-42
421 thoc-2
422 C17H12.8
423 C45G9.6
424 cyc-2.1
425 pgp-14
426 ARPA
427 F56D3.1
428 rpl-12
429 rack-1
430 C16C8.11
431 cdc-14
432 rps-13
433 ndx-1
434 ZK550.4
435 C18A3.2
436 C18B2.4
437 klc-2
438 tag-298
439 rnf-1
440 kca-1
441 C17E4.2
442 C32E8.1
443 cpr-1
444 F28E10.1
445 pqn-52
446 M04F3.3
447 unc-116
448 T10B11.6
449 Y18D10A.11
450 Y24D9A.8
451 unc-16
452 ugt-48
453 pqn-24
454 Y39A1A.7
455 C18E9.6
456 rpy-1
457 abi-1
458 C06A6.2
459 atp-5
460 ham-2
461 C16B8.2
462 cpr-6
463 D1054.5
464 E04F6.6
465 vab-19
466 F54C9.11
467 F59C6.5
468 mua-3
469 K09B11.9
470 K10D3.4
471 nhr-12
472 Y119C1A.1
473 siah-1
474 Y40C5A.1
475 Y42H9AR.1
476 nhr-114
477 tbc-17
478 strd-1
479 rps-18
480 T23D8.3
481 rpn-2
482 hsp-3
483 rps-30
484 sup-17
485 cyk-4
486 cpl-1
487 Y62E10A.14
488 ZK829.7
489 C23G10.8
490 ceh-48
491 rpl-36
492 paa-1
493 sca-1
494 kbp-1
495 dlc-1
496 C23H3.3
497 acdh-1
498 aps-1
499 C24A3.2
500 trs-1
501 C24G6.3
502 pgk-1
503 C24H12.5
504 bir-2
505 rps-6
506 C25D7.10
507 let-70
508 elpc-4
509 goa-1
510 gpr-1
511 ags-3
512 F38H4.3
513 F53A10.2
514 prx-14
515 rpl-6
516 C27A2.5
517 rpl-3
518 ram-2
519 W09G12.7
