;0.25;0.5;0.75;1;2;3;4;5
Arabidopsis;57,179;57,231;58,655;55,977;56,085;56,647;54,051;55,751
Celegans;14,229;14,394;14,643;14,024;15,054;14,927;14,964;15,086
CKM;0,079;0,088;0,159;0,116;0,117;0,1;0,059;0,109
CS_Aarhus;0,049;0,032;0,043;0,031;0,034;0,034;0,092;0,036
Drosophila;90,699;88,137;92,564;96,214;83,34;82,324;80,818;79,999
EUAir;0,729;0,758;0,548;0,645;0,634;0,522;0,6;0,683
FAO;2,034;1,996;2,081;1,982;2,083;2,118;2,102;2,065
HepatitusCVirus;0,035;0,026;0,024;0,034;0,028;0,036;0,039;0,027
HumanHIV1;1,099;1,159;0,948;0,796;0,864;0,983;0,841;0,781
Kapferer1;0,075;0,018;0,016;0,016;0,018;0,017;0,026;0,024
Kapferer2;0,06;0,047;0,017;0,065;0,063;0,018;0,017;0,08
Knoke;0,021;0,02;0,016;0,023;0,017;0,02;0,025;0,022
Lazega;0,04;0,024;0,032;0,062;0,022;0,025;0,03;0,022
London;0,127;0,135;0,126;0,122;0,134;0,129;0,195;0,128
Padgett;0,039;0,026;0,021;0,024;0,022;0,02;0,027;0,025
PierreAuger;0,374;0,36;0,411;0,419;0,381;0,5;0,517;0,471
Rattus;8,421;7,422;7,287;7,636;7,315;8,096;7,894;7,009
Roethlisberger;0,063;0,08;0,06;0,073;0,052;0,077;0,078;0,057
Sampson;0,098;0,072;0,074;0,11;0,087;0,073;0,091;0,105
Thurmann;0,025;0,017;0,047;0,057;0,018;0,022;0,016;0,026
Wolfe;0,013;0,012;0,024;0,023;0,014;0,011;0,013;0,01
