"";"Layer";"Node";"p=0.05";"p=0.1";"p=0.14";"p=0.19";"p=0.24";"p=0.29";"p=0.33";"p=0.38";"p=0.43";"p=0.48";"p=0.52";"p=0.57";"p=0.62";"p=0.67";"p=0.71";"p=0.76";"p=0.81";"p=0.86";"p=0.9";"p=0.95"
"1";1;1;0,299463569453318;0,314373034717356;0,328471800489383;0,349641685799175;0,376099076027564;0,410029162501829;0,444860059526185;0,502800902948616;0,586269767533933;0,715444066693484;0,884444796438887;1;1;1;1;1;0,756282955521637;0,175264200053113;0,0558876177043778;0,00886311796022906
"2";1;2;0,299589874173837;0,314501912889889;0,328603038025783;0,349776339826217;0,376237803494478;0,410172824910056;0,445008484398899;0,502956651079097;0,586434941471415;0,715621681177;0,884634595217501;1;1;1;1;1;0,756108296012437;0,175183940501394;0,0558476105079712;0,00885340579656462
"3";1;3;0,393669398207908;0,410590341948944;0,426532036463096;0,450368596634701;0,48000246000855;0,51777668387493;0,556313301554572;0,619945219099029;0,710727432834029;0,84954478834889;1;1;1;1;1;1;0,624479775181967;0,116524356881325;0,0285522758081139;0,00362489058697154
"4";1;4;0,338369383122793;0,354110730962674;0,36897166592507;0,39124437889999;0,419015405536064;0,454535206615471;0,490898539414343;0,551192756025754;0,637685717658782;0,770847269615718;0,943966574824455;1;1;1;1;1;0,70182985512063;0,151017070272117;0,0446217207728901;0,00670878667884656
"5";1;5;0,308804718490312;0,323914131268098;0,338196087431268;0,359631039419894;0,386404160526982;0,42071632654577;0,455915529646751;0,514421970622893;0,598617609204963;0,728750122605151;0,898740601288658;1;1;1;1;1;0,743205251807518;0,16944465879132;0,0531868670104194;0,00834753589087263
"6";1;6;0,30255945745302;0,317535082074018;0,331694463986656;0,352952059943217;0,379513929083484;0,413570454782921;0,448523237747762;0,506651266365269;0,590360671033213;0,71985212139289;0,889179931085316;1;1;1;1;1;0,751950474989495;0,173334111932491;0,0549894791768372;0,00868971859395477
"7";1;7;0,312039284817128;0,327217821157842;0,34156310893548;0,363089700317606;0,389971979555086;0,42441624684719;0,459742793480226;0,518444800285497;0,602891747324516;0,733355609580892;0,903688071336543;1;1;1;1;1;0,7386787176984;0,167428243494358;0,0522489308630883;0,00816713092550792
"8";1;8;0,292971364857964;0,307741657663955;0,321712916479143;0,342698309234613;0,368935948504791;0,40260011228098;0,437174680329835;0,494721900216228;0,577684994638212;0,706192478647968;0,87450350582809;1;1;1;1;1;0,765375607329994;0,179306597050167;0,0577599767198329;0,00921858272381913
"9";1;9;0,348427731696331;0,364383886642232;0,379441628437083;0,401999115155924;0,430109355169877;0,46603966685156;0,502798726834761;0,563700679360201;0,650974610110859;0,785165905520218;0,959349009516293;1;1;1;1;1;0,687756560994338;0,144746010545626;0,0417045416243505;0,00615077080192176
"10";1;10;0,281151643902861;0,295668524478229;0,309407610701224;0,330057066068782;0,355894564816077;0,38907451276542;0,42318233275964;0,480012804259047;0,562054941816624;0,689348273115653;0,856405091914955;1;1;1;1;1;0,781930428488497;0,186666416123976;0,0611697519147034;0,00986766533111159
"11";1;11;0,401364534186065;0,418449412012753;0,434541306452765;0,458595207212602;0,488487968980757;0,526575521289642;0,565414197895807;0,629510026906011;0,720888431947627;0,860491958932348;1;1;1;1;1;1;0,613719890241239;0,11172236411905;0,0263115059411207;0,00319350129939366
"12";1;12;0,431871083028347;0,449605494117153;0,466292508005623;0,491207557352752;0,52212613731852;0,561455185978258;0,601490719255587;0,667424742234055;0,761165524579652;0,903884274777868;1;1;1;1;1;1;0,571069683716385;0,0926813220443377;0,0174196213585197;0,00147891976861313
"13";1;13;0,341578175395494;0,357388050087004;0,372311769610812;0,394675330123666;0,422554571577543;0,458205332653288;0,494694909410492;0,555183004701749;0,64192510978563;0,775415169550363;0,948873849807854;1;1;1;1;1;0,697340225144004;0,14901646108016;0,0436909880777554;0,006530573594299
"14";1;14;0,326037514463;0,341515444660062;0,35613503524278;0,378058529562034;0,405413577968763;0,440429969183617;0,476308021752728;0,535856973634423;0,621392238828665;0,75329103527596;0,925106254356525;1;1;1;1;1;0,719085220269136;0,158705273635079;0,0481979958284964;0,00739414810939374
"15";1;15;0,303547232859981;0,318544014999807;0,332722781112488;0,354008424702827;0,380603702029939;0,414700655845079;0,449692408976541;0,507880281990083;0,591666583046667;0,721259413240684;0,890692015641184;1;1;1;1;1;0,75056734215732;0,172718893530473;0,054704268653412;0,0086355281833485
"16";1;16;0,517452357603008;0,537006518255095;0,555360857719667;0,582688597619408;0,61648128804943;0,659288819572216;0,702677853884668;0,77376252229635;0,874122991589;1;1;1;1;1;1;1;0,451462087622146;0,0392371094844972;1e-04;1e-04
"17";1;17;0,284955452259168;0,299553873607246;0,313367666723139;0,334125218319282;0,360091473072783;0,393427231540478;0,42768524219505;0,484746351186878;0,567084839249101;0,694768847333973;0,862228720672726;1;1;1;1;1;0,77660295550684;0,184297650412992;0,060071907044108;0,00965841160386416
"18";1;18;0,337682181972435;0,353408894639318;0,368256420233114;0,390509729304554;0,418257641255312;0,453749467427035;0,490085830927091;0,550338626356959;0,636778354666571;0,769869712902165;0,942916767081469;1;1;1;1;1;0,702790690797028;0,151446038123077;0,0448222104886026;0,00674792078119275
"19";1;19;0,389776657388481;0,406614613705465;0,422480274019449;0,446206813150302;0,475709619979446;0,513325236720497;0,551708954264682;0,615106047255578;0,705586485353802;0,844005913454519;1;1;1;1;1;1;0,62992385329025;0,118952855199923;0,0296842796183184;0,00384193535996797
"20";1;20;0,289145200741313;0,303833647285261;0,31772991782052;0,338606804534093;0,364715195424151;0,398222946638332;0,432646737358431;0,489962407218859;0,572627959319119;0,700743155237307;0,868649883390235;1;1;1;1;1;0,770731448800944;0,181691176187051;0,0588683686128495;0,00943203447823847
"21";1;21;0,32023119966202;0,335584910183117;0,350090692154522;0,371849511953197;0,399008410515492;0,433787431980639;0,469436670868525;0,528634237780613;0,613717980768544;0,745021455451871;0,916221315239493;1;1;1;1;1;0,727212943157283;0,162322963581358;0,0498770458524281;0,00771346828916925
"22";1;22;0,285591615316986;0,300203833029065;0,314030264338851;0,334806099461747;0,360794127413947;0,394156227458392;0,428439623008087;0,485539702084229;0,567928244475352;0,695678243835609;0,863207633784943;1;1;1;1;1;0,775709313965157;0,183903397184044;0,0598924074419334;0,00962632962214037
"23";1;23;0,387953298668339;0,404752461340929;0,4205825773324;0,444257682320769;0,473699218506405;0,511240680851602;0,549552908805455;0,612840201803789;0,703179525016049;0,841412863401954;1;1;1;1;1;1;0,632472572932257;0,120091335994121;0,0302167458672563;0,00394557760930734
"24";1;24;0,369515113480834;0,385921155513016;0,401391088775834;0,424545011275978;0,453365717369798;0,490155839739262;0,527743763059767;0,589918668107848;0,678828452313102;0,815176771400451;0,991588096555566;1;1;1;1;1;0,658259591206175;0,131593749345499;0,0355782473296712;0,00497497591073677
"25";1;25;0,296579792476186;0,311427411144432;0,325469514750445;0,346557415020437;0,372917153000163;0,406729070883819;0,441446063764813;0,499211996084897;0,58245611946585;0,711334116435525;0,880028120355829;1;1;1;1;1;0,760322278640046;0,17705943541078;0,0567184865400744;0,00902032960046257
"26";1;26;0,283744724292316;0,298317140271289;0,312107108132756;0,332830187093766;0,358755382209092;0,392041455652226;0,426251575481544;0,483239145626963;0,565483148397988;0,693042596965137;0,860373676708654;1;1;1;1;1;0,778299514357249;0,18505099389481;0,0604200007557223;0,0097240405344005
"27";1;27;0,368147518020273;0,384524435367873;0,399967683638066;0,423082992241574;0,451857700411663;0,488592153580265;0,526126409230919;0,588218888602754;0,67702274242839;0,813231376316428;0,98949860441497;1;1;1;1;1;0,660171710337359;0,132447353299793;0,0359769662587892;0,00505231432104625
"28";1;28;0,351104408475657;0,367117724983917;0,382227838197697;0,404861104631927;0,433061610787143;0,469101160862748;0,505965525132408;0,567029197906874;0,654510946464416;0,788976263001521;0,963442691031009;1;1;1;1;1;0,684011491666738;0,143077220723189;0,0409283601445237;0,00600253880995267
"29";1;29;0,344356360817009;0,360225610299042;0,375203728607979;0,397646001668931;0,425619001639942;0,461383225889701;0,497982177904425;0,558638242374825;0,645596190410402;0,779370840623025;0,953123579090616;1;1;1;1;1;0,693452359177684;0,147284885022797;0,0428864604420927;0,0063774869567088
