;Degree;PageRank;Eigenvector
Arabidopsis;1,608;;
Celegans;0,252;;
CKM;0,17;;
CS_Aarhus;0,21;;
Drosophila;3,755;;
EUAir;0,276;;
FAO;0,716;0,78*;0,769*
HepatitusCVirus;0,214;0,757;0,233*
HumanHIV1;0,22;;
Kapferer1;0,207;0,231;0,22
Kapferer2;0,209;0,227;0,225
Knoke;0,435;0,31;0,238*
Lazega;0,211;0,358;0,253
London;0,212;0,281;0,271
Padgett;0,209;0,239;0,241
PierreAuger;0,26;;
Rattus;0,231;;
Roethlisberger;0,217;0,259;0,225
Sampson;0,213;0,256;0,234
Thurmann;0,211;0,222;0,217
Wolfe;0,207;0,228;0,217
