"";"Layer";"Node";"p=0.17";"p=0.33";"p=0.5";"p=0.67";"p=0.83"
"1";1;1;0,91489875080182;1;1;1;1
"2";1;2;0,953843620416818;1;1;1;1
"3";1;3;0,914898750801819;1;1;1;1
"4";1;4;0,914898750801819;1;1;1;1
"5";1;5;0,903230795097236;1;1;1;1
"6";1;6;0,937151382655972;1;1;1;1
"7";1;7;0,914898750801818;1;1;1;1
"8";1;8;0,953843620416816;1;1;1;1
"9";1;9;0,8920684399777;1;1;1;1
"10";1;10;0,914605703966824;1;1;1;1
"11";1;11;0,937151382655972;1;1;1;1
"12";1;12;0,914479056756879;1;1;1;1
"13";1;13;0,937151382655972;1;1;1;1
"14";1;14;0,93715138265597;1;1;1;1
"15";1;15;0,937151382655969;1;1;1;1
"16";2;1;1;1;1;1;0,806173366606348
"17";2;2;1;1;1;1;0,952465977220265
"18";2;3;1;1;1;1;1
"19";2;4;1;1;1;1;0,997150208500684
"20";2;5;1;1;1;1;0,888870883307088
"21";2;6;1;1;1;1;1
"22";2;7;1;1;1;1;1
"23";2;8;1;1;1;1;0,942468862125508
"24";2;9;0,972781166066447;1;1;1;1
"25";2;10;1;1;1;1;1
"26";2;11;0,931063639667703;1;1;1;1
"27";2;12;1;1;1;1;0,536224952215864
"28";2;13;0,931063639667703;1;1;1;1
"29";2;14;0,911601804275539;1;1;1;1
"30";2;15;0,911601804275538;1;1;1;1
