"";"Layer";"Node";"p=0.05";"p=0.1";"p=0.14";"p=0.19";"p=0.24";"p=0.29";"p=0.33";"p=0.38";"p=0.43";"p=0.48";"p=0.52";"p=0.57";"p=0.62";"p=0.67";"p=0.71";"p=0.76";"p=0.81";"p=0.86";"p=0.9";"p=0.95"
"1";1;1;0,14974635530693;0,149677375666201;0,149616381098874;0,149531634933888;0,14943572191066;0,149326310860006;0,14922705630208;0,149085060215634;0,148918311032434;0,148719759572067;0,148531431805893;0,148247338885266;0,147889548653996;0,147425181476855;0,146940680027805;0,14611345252086;0,144864262676012;0,142760058018987;0,139649416704157;0,12953676014611
"2";1;2;0,124606137274288;0,124535660900385;0,124474105147767;0,12438954654382;0,124294941659653;0,124188142237971;0,124092074960441;0,123955697881778;0,123796775131219;0,123608831195673;0,12343153076998;0,123165370035716;0,122831737513265;0,122400474895131;0,121951912293101;0,12118813169885;0,120037721371683;0,118104295344711;0,115251768658719;0,106006524266141
"3";1;3;0,167145217679688;0,16707588694847;0,167014192832901;0,166927978863616;0,166829840454736;0,166717311883274;0,166614804225748;0,166467601462993;0,166294094207174;0,166086816636047;0,16588970004915;0,165591657059862;0,165215451847671;0,164726232507713;0,164215029606749;0,163341035392309;0,162019480984625;0,159790599820101;0,156491583056682;0,145741536405385
"4";1;4;0,158741296447977;0,158672258313936;0,158610997022152;0,158525606479193;0,158428652879675;0,158317735614872;0,158216880534031;0,158072290428433;0,157902140916325;0,157699167371439;0,157506364069891;0,157215140147537;0,156847905491864;0,15637076000194;0,155872504933374;0,15502115415393;0,15373459230833;0,151565943021786;0,148357877664848;0,13791544515211
"5";1;5;0,167145217679688;0,16707588694847;0,167014192832901;0,166927978863616;0,166829840454737;0,166717311883274;0,166614804225748;0,166467601462994;0,166294094207173;0,166086816636047;0,165889700049151;0,165591657059861;0,165215451847671;0,164726232507713;0,164215029606748;0,16334103539231;0,162019480984625;0,159790599820101;0,156491583056681;0,145741536405385
"6";1;6;0,167145217679688;0,16707588694847;0,167014192832901;0,166927978863616;0,166829840454737;0,166717311883274;0,166614804225748;0,166467601462995;0,166294094207173;0,166086816636047;0,165889700049151;0,165591657059861;0,165215451847671;0,164726232507713;0,164215029606748;0,16334103539231;0,162019480984626;0,159790599820102;0,156491583056681;0,145741536405385
"7";1;7;0,156942130039539;0,156873114553799;0,156811914987058;0,156726663342993;0,156629927403424;0,156519320471081;0,156418792453633;0,156274729476342;0,156105267956309;0,155903186373273;0,155711283950091;0,155421493121558;0,155056153895977;0,15458157026876;0,154086070631997;0,153239550058041;0,151960467738745;0,149804711930661;0,146616134328066;0,136239658649234
"8";1;8;0,149746767197854;0,149677779832224;0,149616779252035;0,149532025774458;0,149436105659586;0,149326687733717;0,149227427829225;0,149085425250077;0,148918669786048;0,148720112259761;0,14853177980031;0,148247681223418;0,147889885590937;0,14742551330723;0,14694100803177;0,146113776173966;0,144864582706066;0,142760375792444;0,13964973493153;0,129537090030859
"9";1;9;0,173753243839769;0,173683551138113;0,173621414792558;0,173534430374999;0,173435242105002;0,17332133294361;0,173217438242055;0,173068075668016;0,172891827239492;0,172681069001975;0,172480487149683;0,172176994674988;0,171793653773839;0,171294865070179;0,170773426467953;0,169881568897209;0,168532457517478;0,16625620474246;0,162885714454876;0,151894074068042
"10";1;10;0,164743223085623;0,164673998803871;0,164612446028379;0,164526488690963;0,164428709384946;0,164316661017927;0,164214640862183;0,164068203100494;0,163895673025819;0,163689642308499;0,163493771294474;0,163197692480737;0,162824065417076;0,162338310075257;0,161830817350831;0,160963305145692;0,15965175943584;0,157440095324683;0,154167066492699;0,143504890810694
"11";1;11;0,164743223085623;0,164673998803871;0,164612446028379;0,164526488690963;0,164428709384946;0,164316661017926;0,164214640862183;0,164068203100494;0,163895673025819;0,163689642308499;0,163493771294474;0,163197692480737;0,162824065417075;0,162338310075257;0,161830817350831;0,160963305145692;0,15965175943584;0,157440095324683;0,154167066492699;0,143504890810694
"12";1;12;0,156941688172044;0,156872680819573;0,156811487586442;0,156726243648458;0,156629515185689;0,156518915505268;0,156418393129557;0,156274337005968;0,156104882118522;0,155902806943343;0,155710909479324;0,155421124628713;0,155055791112203;0,15458121288228;0,154085717288422;0,153239201307272;0,151960122801846;0,149804369340554;0,146615791184571;0,136239302852488
"13";1;13;0,124606137274285;0,124535660900383;0,124474105147762;0,124389546543818;0,124294941659653;0,124188142237967;0,124092074960436;0,123955697881779;0,123796775131223;0,123608831195677;0,12343153076998;0,12316537003572;0,122831737513264;0,122400474895129;0,121951912293106;0,121188131698851;0,120037721371682;0,118104295344712;0,115251768658724;0,106006524266139
"14";1;14;0,149746767197854;0,149677779832223;0,149616779252033;0,149532025774457;0,149436105659586;0,149326687733716;0,149227427829223;0,149085425250078;0,148918669786049;0,148720112259763;0,148531779800311;0,148247681223419;0,147889885590937;0,14742551330723;0,146941008031772;0,146113776173966;0,144864582706066;0,142760375792444;0,139649734931531;0,129537090030859
"15";2;1;0,124601966409278;0,124531354045105;0,124469675809114;0,124384944153447;0,124290140112061;0,124183110068203;0,124086831011554;0,123950147547972;0,123790860920952;0,123602479230971;0,123424760043072;0,123157962476475;0,122823521046577;0,122391199712257;0,121941523957738;0,121175826365346;0,120022488275549;0,118084053522846;0,115223964479237;0,105953038820927
"16";2;2;0,124601966409278;0,124531354045105;0,124469675809114;0,124384944153447;0,124290140112061;0,124183110068203;0,124086831011554;0,123950147547972;0,123790860920952;0,123602479230971;0,123424760043072;0,123157962476475;0,122823521046577;0,122391199712257;0,121941523957738;0,121175826365346;0,120022488275549;0,118084053522846;0,115223964479238;0,105953038820926
"17";2;3;0,124601966409278;0,124531354045104;0,124469675809114;0,124384944153447;0,124290140112061;0,124183110068203;0,124086831011552;0,123950147547972;0,123790860920952;0,123602479230971;0,123424760043072;0,123157962476476;0,122823521046577;0,122391199712257;0,121941523957739;0,121175826365347;0,120022488275549;0,118084053522847;0,115223964479238;0,105953038820926
"18";2;4;0,124601966409276;0,124531354045104;0,124469675809113;0,124384944153447;0,124290140112061;0,124183110068201;0,124086831011552;0,123950147547972;0,123790860920952;0,123602479230972;0,123424760043072;0,123157962476476;0,122823521046577;0,122391199712257;0,121941523957739;0,121175826365347;0,120022488275547;0,118084053522847;0,115223964479238;0,105953038820926
"19";2;5;0,124601966409276;0,124531354045104;0,124469675809113;0,124384944153447;0,124290140112061;0,124183110068201;0,124086831011551;0,123950147547972;0,123790860920953;0,123602479230972;0,123424760043072;0,123157962476476;0,122823521046577;0,122391199712257;0,121941523957739;0,121175826365347;0,120022488275547;0,118084053522847;0,115223964479239;0,105953038820925
"20";2;6;0,156081116371655;0,156012005515266;0,155950738490817;0,155865414593971;0,15576862127642;0,15565797387896;0,155557427456714;0,155413361894528;0,155243924908182;0,155041901493732;0,154850075953542;0,154560430221304;0,154195308929303;0,1537210470265;0,153225913736512;0,152380063369464;0,151102054274416;0,14894819053165;0,145762512851443;0,135396185618873
"21";2;7;0,145891170154478;0,145821993712342;0,145760926472347;0,145676208201053;0,14558047303934;0,145471414634565;0,145372589647916;0,145231350377861;0,145065655183804;0,144868532487122;0,144681690458683;0,144400014485635;0,144045481826706;0,143585581001485;0,143105930796089;0,142287273010333;0,141051436932648;0,138970351954255;0,135894742169989;0,125901008301249
