"Layer";"Node";"Label";"Degree";"DegreeIn";"DegreeOut";"Strength";"StrengthIn";"StrengthOut";"PageRank";"Eigenvector";"Hub";"Authority";"Katz";"Multiplexity";"Kcore"
"1";1;"soc-2";2;0;2;"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"1";2;"W07G4.5";4;1;3;"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"1";3;"let-60";5;1;4;"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"1";4;"gna-1";4;0;4;"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"1";5;"B0365.1";2;1;1;"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"1";6;"dlg-1";8;1;7;"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"1";7;"pal-1";61;1;60;"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"1";8;"W02G9.3";49;1;48;"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"1";9;"crm-1";41;0;41;"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"1";10;"B0507.1";12;1;11;"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"1";11;"tyr-1";2;1;1;"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"1";12;"tyr-4";3;1;2;"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"1";13;"ppn-1";12;1;11;"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"1";14;"C54D2.2";1;1;0;"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"1";15;"adt-2";2;1;1;"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"1";16;"F16B4.5";1;1;0;"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"1";17;"F23B12.4";1;1;0;"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"1";18;"F29G6.3";11;1;10;"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"1";19;"F30H5.3";9;1;8;"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"1";20;"elo-6";1;1;0;"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"1";21;"F42D1.2";4;1;3;"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"1";22;"lon-1";3;1;2;"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"1";23;"F53A9.1";1;1;0;"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"1";24;"F53A9.2";1;1;0;"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"1";25;"F54A3.1";1;1;0;"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"1";26;"F54B11.7";8;1;7;"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"1";27;"F56B3.2";2;1;1;"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"1";28;"F58E6.3";2;1;1;"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"1";29;"K07C11.7";1;1;0;"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"1";30;"K08E7.5";6;1;5;"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"1";31;"R02F11.1";22;1;21;"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"1";32;"R05G6.7";3;1;2;"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"1";33;"T01B7.8";7;1;6;"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"1";34;"act-1";9;1;8;"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"1";35;"T21B6.3";14;2;12;"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"1";36;"T21D12.11";2;1;1;"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"1";37;"T22F7.3";1;1;0;"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"1";38;"scrm-1";17;2;15;"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"1";39;"W03G1.5";6;1;5;"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"1";40;"Y39B6A.1";33;4;29;"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"1";41;"Y64G10A.7";1;1;0;"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"1";42;"Y69H2.10";1;1;0;"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"1";43;"Y69H2.3";13;2;11;"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"1";44;"rps-7";6;1;5;"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"1";45;"pqn-95";17;8;9;"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"1";46;"ZK849.1";49;4;45;"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"1";47;"casy-1";2;0;2;"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"1";48;"C17F4.7";1;1;0;"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"1";49;"sgt-1";32;4;28;"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"1";50;"dnj-2";2;1;1;"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"1";51;"tba-1";2;1;1;"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"1";52;"ptps-1";0;0;0;"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"1";53;"rpn-10";21;0;21;"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"1";54;"rpl-23";3;1;2;"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"1";55;"arf-1.2";5;2;3;"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"1";56;"ocrl-1";1;1;0;"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"1";57;"sptl-1";1;1;0;"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"1";58;"try-10";1;1;0;"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"1";59;"csr-1";1;1;0;"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"1";60;"F23C8.5";3;1;2;"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"1";61;"rpt-3";3;1;2;"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"1";62;"rpl-7";12;1;11;"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"1";63;"rpl-25.1";2;1;1;"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"1";64;"F57F5.1";5;1;4;"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"1";65;"mek-1";6;2;4;"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"1";66;"K09E2.3";1;1;0;"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"1";67;"gpdh-2";2;1;1;"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"1";68;"rpl-9";7;1;6;"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"1";69;"grl-7";3;1;2;"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
