Layer;Node;Label;Strength;StrengthIn;StrengthOut;Degree;DegreeIn;DegreeOut;PageRank;Eigenvector;Hub;Authority;Katz;Multiplexity;Kcore
1-Multi;1;NOS1;-;-;-;1;0;1;0.0654218023;NA;NA;NA;NA;-;-
1-Multi;2;Ctbp1;-;-;-;3;1;2;0.0746898909;NA;NA;NA;NA;-;-
1-Multi;3;BAX;-;-;-;1;0;1;0.0654218023;NA;NA;NA;NA;-;-
1-Multi;4;Bak1;-;-;-;1;1;0;0.0746898909;NA;NA;NA;NA;-;-
1-Multi;5;NCOA4;-;-;-;1;0;1;0.0654218023;NA;NA;NA;NA;-;-
1-Multi;6;Nr3c1;-;-;-;11;5;6;0.1471363554;NA;NA;NA;NA;-;-
1-Multi;7;Bcar1;-;-;-;6;3;3;0.1013924875;NA;NA;NA;NA;-;-
1-Multi;8;Pik3r1;-;-;-;11;6;5;0.1501724221;NA;NA;NA;NA;-;-
1-Multi;9;MAPKAPK2;-;-;-;1;0;1;0.0654218023;NA;NA;NA;NA;-;-
1-Multi;10;Tsc2;-;-;-;10;5;5;0.0983261498;NA;NA;NA;NA;-;-
1-Multi;11;YWHAB;-;-;-;2;2;0;0.0924712587;NA;NA;NA;NA;-;-
1-Multi;12;PTPN13;-;-;-;2;1;1;0.0746898909;NA;NA;NA;NA;-;-
1-Multi;13;Apc;-;-;-;10;5;5;0.1266793199;NA;NA;NA;NA;-;-
1-Multi;14;Nos1;-;-;-;12;5;7;0.0953359603;NA;NA;NA;NA;-;-
1-Multi;15;Sip1;-;-;-;1;0;1;0.0654218023;NA;NA;NA;NA;-;-
1-Multi;16;Smad9;-;-;-;1;1;0;0.0746898909;NA;NA;NA;NA;-;-
1-Multi;17;Picalm;-;-;-;1;0;1;0.0654218023;NA;NA;NA;NA;-;-
1-Multi;18;Ehd2;-;-;-;2;1;1;0.0746898909;NA;NA;NA;NA;-;-
1-Multi;19;Slc2a4;-;-;-;1;1;0;0.0746898909;NA;NA;NA;NA;-;-
1-Multi;20;AATF;-;-;-;2;1;1;0.1373559499;NA;NA;NA;NA;-;-
1-Multi;21;Tsg101;-;-;-;3;2;1;0.1391465776;NA;NA;NA;NA;-;-
1-Multi;22;DYNLL1;-;-;-;30;0;30;0.0654218023;NA;NA;NA;NA;-;-
1-Multi;23;Car1;-;-;-;2;2;0;0.0662793549;NA;NA;NA;NA;-;-
1-Multi;24;Ldha;-;-;-;3;3;0;0.0667164833;NA;NA;NA;NA;-;-
1-Multi;25;Aldoa;-;-;-;4;4;0;0.0674398447;NA;NA;NA;NA;-;-
1-Multi;26;Mta1;-;-;-;1;1;0;0.0657307386;NA;NA;NA;NA;-;-
1-Multi;27;Cacnb1;-;-;-;2;1;1;0.0657307386;NA;NA;NA;NA;-;-
1-Multi;28;Glul;-;-;-;2;2;0;0.066645535;NA;NA;NA;NA;-;-
1-Multi;29;Actb;-;-;-;13;13;0;0.1203301534;NA;NA;NA;NA;-;-
1-Multi;30;Actg1;-;-;-;1;1;0;0.0657307386;NA;NA;NA;NA;-;-
1-Multi;31;Mdh1;-;-;-;4;4;0;0.0674464126;NA;NA;NA;NA;-;-
1-Multi;32;Vim;-;-;-;9;9;0;0.0908930622;NA;NA;NA;NA;-;-
1-Multi;33;LOC499110;-;-;-;1;1;0;0.0657307386;NA;NA;NA;NA;-;-
1-Multi;34;Glud1;-;-;-;1;1;0;0.0657307386;NA;NA;NA;NA;-;-
1-Multi;35;Tuba1a;-;-;-;23;16;7;0.1858807305;NA;NA;NA;NA;-;-
1-Multi;36;Tubb2b;-;-;-;5;5;0;0.0750717246;NA;NA;NA;NA;-;-
1-Multi;37;Gphn;-;-;-;11;3;8;0.0740768506;NA;NA;NA;NA;-;-
1-Multi;38;Pfkp;-;-;-;2;2;0;0.066645535;NA;NA;NA;NA;-;-
1-Multi;39;Pfkm;-;-;-;1;1;0;0.0657307386;NA;NA;NA;NA;-;-
1-Multi;40;Pard3;-;-;-;5;1;4;0.0657307386;NA;NA;NA;NA;-;-
1-Multi;41;Map1lc3b;-;-;-;2;2;0;0.0669187681;NA;NA;NA;NA;-;-
1-Multi;42;Dync1h1;-;-;-;6;6;0;0.0862198169;NA;NA;NA;NA;-;-
1-Multi;43;Mastl;-;-;-;1;1;0;0.0657307386;NA;NA;NA;NA;-;-
1-Multi;44;Dlg4;-;-;-;21;15;6;0.1157592643;NA;NA;NA;NA;-;-
1-Multi;45;Dnm3;-;-;-;2;2;0;0.0673384527;NA;NA;NA;NA;-;-
1-Multi;46;Grin2a;-;-;-;7;5;2;0.0881946117;NA;NA;NA;NA;-;-
1-Multi;47;Mtr;-;-;-;1;1;0;0.0657307386;NA;NA;NA;NA;-;-
1-Multi;48;Dnm2;-;-;-;4;4;0;0.0774791685;NA;NA;NA;NA;-;-
1-Multi;49;Clip2;-;-;-;1;1;0;0.0657307386;NA;NA;NA;NA;-;-
1-Multi;50;Grin3a;-;-;-;1;1;0;0.0657307386;NA;NA;NA;NA;-;-
1-Multi;51;Ube2k;-;-;-;1;1;0;0.0657307386;NA;NA;NA;NA;-;-
1-Multi;52;Baiap2;-;-;-;7;0;7;0.0654218023;NA;NA;NA;NA;-;-
1-Multi;53;Dlg3;-;-;-;5;5;0;0.0703527705;NA;NA;NA;NA;-;-
1-Multi;54;Eps8l1;-;-;-;1;1;0;0.0669664837;NA;NA;NA;NA;-;-
1-Multi;55;Cnksr3;-;-;-;1;1;0;0.0669664837;NA;NA;NA;NA;-;-
1-Multi;56;Dlg1;-;-;-;21;12;9;0.1294024642;NA;NA;NA;NA;-;-
1-Multi;57;Magi2;-;-;-;8;6;2;0.0915465028;NA;NA;NA;NA;-;-
1-Multi;58;Lin7b;-;-;-;3;3;0;0.085502661;NA;NA;NA;NA;-;-
1-Multi;59;BAIAP2;-;-;-;1;0;1;0.0654218023;NA;NA;NA;NA;-;-
1-Multi;60;Agap2;-;-;-;2;0;2;0.0654218023;NA;NA;NA;NA;-;-
1-Multi;61;Homer1;-;-;-;15;8;7;0.1224016993;NA;NA;NA;NA;-;-
1-Multi;62;Homer2;-;-;-;4;2;2;0.0746898909;NA;NA;NA;NA;-;-
1-Multi;63;Adora1;-;-;-;2;0;2;0.0654218023;NA;NA;NA;NA;-;-
1-Multi;64;Epb4.1l2;-;-;-;5;5;0;0.0944875904;NA;NA;NA;NA;-;-
1-Multi;65;Glrb;-;-;-;6;2;4;0.0744617577;NA;NA;NA;NA;-;-
1-Multi;66;Pfn1;-;-;-;4;4;0;0.0743012266;NA;NA;NA;NA;-;-
1-Multi;67;Pfn2;-;-;-;1;1;0;0.0696468807;NA;NA;NA;NA;-;-
1-Multi;68;Enah;-;-;-;2;2;0;0.0740527917;NA;NA;NA;NA;-;-
1-Multi;69;Tcea1;-;-;-;2;1;1;0.0656214709;NA;NA;NA;NA;-;-
1-Multi;70;REXO1;-;-;-;1;1;0;0.0746898909;NA;NA;NA;NA;-;-
1-Multi;71;DPYSL2;-;-;-;1;0;1;0.0654218023;NA;NA;NA;NA;-;-
1-Multi;72;Numb;-;-;-;1;1;0;0.0746898909;NA;NA;NA;NA;-;-
1-Multi;73;Scn2a1;-;-;-;4;1;3;0.0663365987;NA;NA;NA;NA;-;-
1-Multi;74;SCN4B;-;-;-;1;1;0;0.0754674679;NA;NA;NA;NA;-;-
1-Multi;75;MLLT10;-;-;-;1;0;1;0.0654218023;NA;NA;NA;NA;-;-
1-Multi;76;Epn1;-;-;-;23;11;12;0.1257213459;NA;NA;NA;NA;-;-
1-Multi;77;Epn2;-;-;-;2;2;0;0.0800021179;NA;NA;NA;NA;-;-
1-Multi;78;TP53;-;-;-;5;4;1;0.1024941569;NA;NA;NA;NA;-;-
1-Multi;79;Hipk1;-;-;-;1;1;0;0.1062013923;NA;NA;NA;NA;-;-
1-Multi;80;Arc;-;-;-;3;2;1;0.1126154812;NA;NA;NA;NA;-;-
1-Multi;81;Tfpt;-;-;-;6;3;3;0.1721867497;NA;NA;NA;NA;-;-
1-Multi;82;Ruvbl1;-;-;-;1;0;1;0.0654218023;NA;NA;NA;NA;-;-
1-Multi;83;PLG;-;-;-;1;1;0;0.0746898909;NA;NA;NA;NA;-;-
1-Multi;84;Smarcd1;-;-;-;2;0;2;0.0654218023;NA;NA;NA;NA;-;-
1-Multi;85;Jun;-;-;-;5;5;0;0.0987081484;NA;NA;NA;NA;-;-
1-Multi;86;Fos;-;-;-;1;1;0;0.0700558466;NA;NA;NA;NA;-;-
1-Multi;87;Smarca4;-;-;-;2;1;1;0.0659704187;NA;NA;NA;NA;-;-
1-Multi;88;Smarcb1;-;-;-;1;1;0;0.0746898909;NA;NA;NA;NA;-;-
1-Multi;89;P2rx7;-;-;-;12;2;10;0.0839579796;NA;NA;NA;NA;-;-
1-Multi;90;ACTB;-;-;-;1;1;0;0.0671363987;NA;NA;NA;NA;-;-
1-Multi;91;HSPA8;-;-;-;1;1;0;0.0671363987;NA;NA;NA;NA;-;-
1-Multi;92;HSPA4;-;-;-;2;2;0;0.0720928448;NA;NA;NA;NA;-;-
1-Multi;93;PTPRZ1;-;-;-;1;1;0;0.0671363987;NA;NA;NA;NA;-;-
1-Multi;94;ITGB2;-;-;-;1;1;0;0.0671363987;NA;NA;NA;NA;-;-
1-Multi;95;MPP3;-;-;-;1;1;0;0.0671363987;NA;NA;NA;NA;-;-
1-Multi;96;LAMA3;-;-;-;1;1;0;0.0671363987;NA;NA;NA;NA;-;-
1-Multi;97;ACTN4;-;-;-;3;2;1;0.076930465;NA;NA;NA;NA;-;-
1-Multi;98;SVIL;-;-;-;1;1;0;0.0671363987;NA;NA;NA;NA;-;-
1-Multi;99;HSP90AA1;-;-;-;4;2;2;0.0720928448;NA;NA;NA;NA;-;-
1-Multi;100;Ncald;-;-;-;6;1;5;0.0663365987;NA;NA;NA;NA;-;-
1-Multi;101;Cltc;-;-;-;14;14;0;0.099203022;NA;NA;NA;NA;-;-
1-Multi;102;Gapdh;-;-;-;7;6;1;0.1753408207;NA;NA;NA;NA;-;-
1-Multi;103;Clic4;-;-;-;9;2;7;0.0896602827;NA;NA;NA;NA;-;-
1-Multi;104;Ywhae;-;-;-;8;8;0;0.1039977975;NA;NA;NA;NA;-;-
1-Multi;105;Ywhaz;-;-;-;7;6;1;0.0858293716;NA;NA;NA;NA;-;-
1-Multi;106;Dnm1;-;-;-;22;20;2;0.1800524835;NA;NA;NA;NA;-;-
1-Multi;107;CLIC4;-;-;-;1;1;0;0.0746898909;NA;NA;NA;NA;-;-
1-Multi;108;CAV1;-;-;-;1;1;0;0.0746898909;NA;NA;NA;NA;-;-
1-Multi;109;Pld2;-;-;-;7;3;4;0.1147694222;NA;NA;NA;NA;-;-
1-Multi;110;PLD2;-;-;-;1;0;1;0.0654218023;NA;NA;NA;NA;-;-
1-Multi;111;PLD1;-;-;-;1;0;1;0.0654218023;NA;NA;NA;NA;-;-
1-Multi;112;Rab11b;-;-;-;1;0;1;0.0654218023;NA;NA;NA;NA;-;-
1-Multi;113;SREBF2;-;-;-;1;1;0;0.0746898909;NA;NA;NA;NA;-;-
1-Multi;114;SUV39H2;-;-;-;1;0;1;0.0654218023;NA;NA;NA;NA;-;-
