"Layer";"Node";"Label";"Strength";"StrengthIn";"StrengthOut";"Degree";"DegreeIn";"DegreeOut";"PageRank";"Eigenvector";"Hub";"Authority";"Katz";"Multiplexity";"Kcore"
"1-Multi";1;"COUN";"-";"-";"-";14;5;9;0.542559972585396;0.652724825387525;0.707924789282754;0.63882956529395;0.54542855401948;"-";"-"
"1-Multi";2;"COMM";"-";"-";"-";19;11;8;1;0.985762492062576;0.943516701562478;0.873915836581862;0.884579953921545;"-";"-"
"1-Multi";3;"EDUC";"-";"-";"-";16;9;7;0.752806480128064;0.452899746017404;0.791393807365174;0.458422327974985;0.767391054272449;"-";"-"
"1-Multi";4;"INDU";"-";"-";"-";14;5;9;0.651794308985837;0.73735105148413;0.719995222922737;0.603408788259445;0.562573589563024;"-";"-"
"1-Multi";5;"MAYR";"-";"-";"-";21;9;12;0.956455209224164;0.985762492062576;1;0.865814270209129;1;"-";"-"
"1-Multi";6;"WRO";"-";"-";"-";4;1;3;0.196780417637786;0.0877341395154382;0.434868940228603;0.113511951934444;0.329005684808719;"-";"-"
"1-Multi";7;"NEWS";"-";"-";"-";15;10;5;0.863521446518466;1;0.499339652047548;1;0.474059018278157;"-";"-"
"1-Multi";8;"UWAY";"-";"-";"-";16;8;8;0.946768907079013;0.381916858060593;0.972654664465898;0.278764342554112;0.760051779779866;"-";"-"
"1-Multi";9;"WELF";"-";"-";"-";14;9;5;0.848501122897523;0.599339539142987;0.583856074908337;0.582189355717171;0.456913637705532;"-";"-"
"1-Multi";10;"WEST";"-";"-";"-";9;4;5;0.589103587157069;0.278692568545735;0.81768829874739;0.256944906397866;0.71121720294036;"-";"-"
"2-Multi";1;"COUN";"-";"-";"-";14;5;9;0.542559972585396;0.652724825387525;0.707924789282754;0.63882956529395;0.54542855401948;"-";"-"
"2-Multi";2;"COMM";"-";"-";"-";19;11;8;1;0.985762492062576;0.943516701562478;0.873915836581862;0.884579953921545;"-";"-"
"2-Multi";3;"EDUC";"-";"-";"-";16;9;7;0.752806480128064;0.452899746017404;0.791393807365174;0.458422327974985;0.767391054272449;"-";"-"
"2-Multi";4;"INDU";"-";"-";"-";14;5;9;0.651794308985837;0.73735105148413;0.719995222922737;0.603408788259445;0.562573589563024;"-";"-"
"2-Multi";5;"MAYR";"-";"-";"-";21;9;12;0.956455209224164;0.985762492062576;1;0.865814270209129;1;"-";"-"
"2-Multi";6;"WRO";"-";"-";"-";4;1;3;0.196780417637786;0.0877341395154382;0.434868940228603;0.113511951934444;0.329005684808719;"-";"-"
"2-Multi";7;"NEWS";"-";"-";"-";15;10;5;0.863521446518466;1;0.499339652047548;1;0.474059018278157;"-";"-"
"2-Multi";8;"UWAY";"-";"-";"-";16;8;8;0.946768907079013;0.381916858060593;0.972654664465898;0.278764342554112;0.760051779779866;"-";"-"
"2-Multi";9;"WELF";"-";"-";"-";14;9;5;0.848501122897523;0.599339539142987;0.583856074908337;0.582189355717171;0.456913637705532;"-";"-"
"2-Multi";10;"WEST";"-";"-";"-";9;4;5;0.589103587157069;0.278692568545735;0.81768829874739;0.256944906397866;0.71121720294036;"-";"-"
"Aggr";1;"COUN";"-";"-";"-";12;5;7;0.461939239118798;0.467749582992831;0.77952572889732;0.483829691447666;0.788482339206565;"-";"-"
"Aggr";2;"COMM";"-";"-";"-";15;8;7;1;1;0.638996782531481;1;0.722816732324278;"-";"-"
"Aggr";3;"EDUC";"-";"-";"-";14;7;7;0.758804765979347;0.77848359462999;0.465703053784039;0.834211550541927;0.587635333875565;"-";"-"
"Aggr";4;"INDU";"-";"-";"-";12;5;7;0.575810172493514;0.556294056753262;0.812835605804105;0.436172763727983;0.799846804079567;"-";"-"
"Aggr";5;"MAYR";"-";"-";"-";16;8;8;0.837264020157943;0.799730438865327;1;0.748085066541436;1;"-";"-"
"Aggr";6;"WRO";"-";"-";"-";4;1;3;0.189117263036169;0.103236359309406;0.283351395029695;0.0643172874710293;0.209319992234029;"-";"-"
"Aggr";7;"NEWS";"-";"-";"-";13;9;4;0.821288823208254;0.822185136530948;0.429730773430852;0.870577206920793;0.522721993794425;"-";"-"
"Aggr";8;"UWAY";"-";"-";"-";14;7;7;0.767224546673759;0.794496890523996;0.623771423214698;0.771430067588691;0.696244774096469;"-";"-"
"Aggr";9;"WELF";"-";"-";"-";11;6;5;0.680094789318842;0.766960102004571;0.458912185545298;0.903471468379669;0.468045740429498;"-";"-"
"Aggr";10;"WEST";"-";"-";"-";9;4;5;0.373568667353774;0.376679487568982;0.427668382882047;0.39623169635179;0.480277437097881;"-";"-"
