"Layer";"Node";"Label";"Strength";"StrengthIn";"StrengthOut";"Degree";"DegreeIn";"DegreeOut";"PageRank";"Eigenvector";"Hub";"Authority";"Katz";"Multiplexity";"Kcore"
"1-Multi";1;"V1";"-";"-";"-";40;22;18;0.666238516555835;0.525588620794054;0.525588620794054;0.525588620794055;0.525593464319624;"-";"-"
"1-Multi";2;"V2";"-";"-";"-";39;20;19;0.438475921037969;0.349179420866578;0.349179420866578;0.349179420866578;0.349186651772271;"-";"-"
"1-Multi";3;"V3";"-";"-";"-";39;20;19;1;1;1;1;1;"-";"-"
"1-Multi";4;"V4";"-";"-";"-";32;16;16;0.491247062065822;0.486516415279215;0.486516415279214;0.486516415279214;0.486521640272248;"-";"-"
"1-Multi";5;"V5";"-";"-";"-";38;19;19;0.527556527824963;0.498479026128604;0.498479026128604;0.498479026128604;0.498484375223662;"-";"-"
"1-Multi";6;"V6";"-";"-";"-";38;17;21;0.373707306778455;0.319050630161287;0.319050630161286;0.319050630161287;0.319058264393704;"-";"-"
"1-Multi";7;"V7";"-";"-";"-";39;20;19;0.635974250593899;0.618300586036839;0.618300586036839;0.618300586036839;0.618304518507856;"-";"-"
"1-Multi";8;"V8";"-";"-";"-";33;17;16;0.423092296902928;0.373437212121803;0.373437212121802;0.373437212121803;0.37344385205954;"-";"-"
"1-Multi";9;"V9";"-";"-";"-";41;20;21;0.496455739596393;0.429330594615478;0.429330594615478;0.429330594615478;0.429337018301343;"-";"-"
"1-Multi";10;"V10";"-";"-";"-";36;18;18;0.48843440688751;0.47602562144051;0.476025621440511;0.476025621440511;0.476031004332338;"-";"-"
"1-Multi";11;"V11";"-";"-";"-";40;19;21;0.545206711241332;0.560598670674315;0.560598670674316;0.560598670674316;0.560603118432513;"-";"-"
"1-Multi";12;"V12";"-";"-";"-";39;20;19;0.752173950437609;0.770670683531156;0.770670683531156;0.770670683531156;0.770672644076968;"-";"-"
"1-Multi";13;"V13";"-";"-";"-";41;19;22;0.653103279901158;0.646447483958038;0.646447483958038;0.646447483958038;0.64645135540439;"-";"-"
"1-Multi";14;"V14";"-";"-";"-";39;20;19;0.590809544072025;0.58266806850653;0.58266806850653;0.582668068506531;0.582672207092272;"-";"-"
"1-Multi";15;"V15";"-";"-";"-";39;20;19;0.625166824648541;0.634834611925106;0.634834611925106;0.634834611925106;0.634838060053957;"-";"-"
"1-Multi";16;"V16";"-";"-";"-";35;17;18;0.378865113477462;0.271397088293916;0.271397088293916;0.271397088293916;0.271405250943238;"-";"-"
"1-Multi";17;"V17";"-";"-";"-";39;20;19;0.609701165658574;0.543041453630415;0.543041453630415;0.543041453630415;0.543046311453943;"-";"-"
"1-Multi";18;"V18";"-";"-";"-";36;18;18;0.33259800308017;0.258993319869274;0.258993319869274;0.258993319869275;0.259001450763634;"-";"-"
"1-Multi";19;"V19";"-";"-";"-";36;17;19;0.408319214333736;0.346022674486463;0.346022674486464;0.346022674486464;0.346029982572893;"-";"-"
"1-Multi";20;"V20";"-";"-";"-";35;18;17;0.363453506623525;0.252575205536908;0.252575205536907;0.252575205536908;0.252583509693146;"-";"-"
"2-Multi";1;"V1";"-";"-";"-";40;22;18;0.666238516555835;0.525588620794054;0.525588620794054;0.525588620794055;0.525593464319624;"-";"-"
"2-Multi";2;"V2";"-";"-";"-";39;20;19;0.438475921037969;0.349179420866578;0.349179420866578;0.349179420866578;0.349186651772271;"-";"-"
"2-Multi";3;"V3";"-";"-";"-";39;20;19;1;1;1;1;1;"-";"-"
"2-Multi";4;"V4";"-";"-";"-";32;16;16;0.491247062065822;0.486516415279215;0.486516415279214;0.486516415279214;0.486521640272248;"-";"-"
"2-Multi";5;"V5";"-";"-";"-";38;19;19;0.527556527824963;0.498479026128604;0.498479026128604;0.498479026128604;0.498484375223662;"-";"-"
"2-Multi";6;"V6";"-";"-";"-";38;17;21;0.373707306778455;0.319050630161287;0.319050630161286;0.319050630161287;0.319058264393704;"-";"-"
"2-Multi";7;"V7";"-";"-";"-";39;20;19;0.635974250593899;0.618300586036839;0.618300586036839;0.618300586036839;0.618304518507856;"-";"-"
"2-Multi";8;"V8";"-";"-";"-";33;17;16;0.423092296902928;0.373437212121803;0.373437212121802;0.373437212121803;0.37344385205954;"-";"-"
"2-Multi";9;"V9";"-";"-";"-";41;20;21;0.496455739596393;0.429330594615478;0.429330594615478;0.429330594615478;0.429337018301343;"-";"-"
"2-Multi";10;"V10";"-";"-";"-";36;18;18;0.48843440688751;0.47602562144051;0.476025621440511;0.476025621440511;0.476031004332338;"-";"-"
"2-Multi";11;"V11";"-";"-";"-";40;19;21;0.545206711241332;0.560598670674315;0.560598670674316;0.560598670674316;0.560603118432513;"-";"-"
"2-Multi";12;"V12";"-";"-";"-";39;20;19;0.752173950437609;0.770670683531156;0.770670683531156;0.770670683531156;0.770672644076968;"-";"-"
